time(ms), dt, force, posX, rawPosX, posXDeg, velX (rad/s)
1316, 2, 10000, -2150, 6430, -96.767990, 2.876390
1321, 5, 10000, -2135, 6442, -96.108772, 2.301111
1323, 2, 10000, -2125, 6450, -95.669289, 3.835186
1325, 2, 10000, -2118, 6456, -95.339684, 2.876390
1326, 1, 10000, -2111, 6462, -95.010071, 5.752779
1328, 2, 10000, -2101, 6470, -94.570595, 3.835186
1330, 2, 10000, -2093, 6477, -94.186043, 3.355788
1332, 2, 10000, -2085, 6483, -93.856438, 2.876390
1334, 2, 10000, -2085, 6483, -93.856438, 0.000000
1335, 1, 10000, -2075, 6491, -93.416954, 7.670372
1337, 2, 10000, -2066, 6499, -92.977478, 3.835186
1339, 2, 10000, -2057, 6506, -92.592934, 3.355788
1341, 2, 10000, -2046, 6515, -92.098518, 4.314584
1343, 2, 10000, -2034, 6525, -91.549164, 4.793983
1344, 1, 10000, -2025, 6532, -91.164619, 6.711576
1346, 2, 10000, -2012, 6543, -90.560333, 5.273381
1348, 2, 10000, -2001, 6552, -90.065926, 4.314584
1350, 2, 10000, -2001, 6552, -90.065926, 0.000000
1352, 2, 10000, -1988, 6563, -89.461639, 5.273381
1353, 1, 10000, -1977, 6572, -88.967224, 8.629168
1355, 2, 10000, -1964, 6582, -88.417870, 4.793983
1358, 3, 10000, -1952, 6592, -87.868523, 3.195988
1359, 1, 10000, -1940, 6602, -87.319176, 9.587965
1361, 2, 10000, -1929, 6611, -86.824760, 4.314584
1363, 2, 10000, -1917, 6621, -86.275406, 4.793983
1364, 1, 10000, -1905, 6631, -85.726059, 9.587965
1366, 2, 10000, -1891, 6642, -85.121773, 5.273381
1368, 2, 10000, -1879, 6652, -84.572426, 4.793983
1370, 2, 10000, -1865, 6663, -83.968140, 5.273381
1372, 2, 10000, -1852, 6674, -83.363853, 5.273381
1374, 2, 10000, -1852, 6674, -83.363853, 0.000000
1376, 2, 10000, -1840, 6684, -82.814507, 4.793983
1378, 2, 10000, -1826, 6695, -82.210220, 5.273381
1380, 2, 10000, -1813, 6706, -81.605934, 5.273381
1382, 2, 10000, -1798, 6718, -80.946716, 5.752779
1384, 2, 10000, -1785, 6729, -80.342430, 5.273381
1388, 4, 10000, -1756, 6753, -79.023987, 5.752779
1390, 2, 10000, -1742, 6764, -78.419701, 5.273381
1391, 1, 10000, -1728, 6776, -77.760483, 11.505558
1393, 2, 10000, -1713, 6788, -77.101265, 5.752779
1395, 2, 10000, -1698, 6800, -76.442047, 5.752779
1397, 2, 10000, -1685, 6811, -75.837761, 5.273381
1399, 2, 10000, -1670, 6823, -75.178535, 5.752779
1400, 1, 10000, -1655, 6835, -74.519318, 11.505558
1402, 2, 10000, -1640, 6848, -73.805161, 6.232177
1404, 2, 10000, -1625, 6860, -73.145943, 5.752779
1406, 2, 10000, -1625, 6860, -73.145943, 0.000000
1408, 2, 10000, -1609, 6873, -72.431786, 6.232177
1409, 1, 10000, -1592, 6887, -71.662697, 13.423151
1411, 2, 10000, -1577, 6899, -71.003479, 5.752779
1413, 2, 10000, -1560, 6913, -70.234390, 6.711576
1415, 2, 10000, -1546, 6925, -69.575172, 5.752779
1417, 2, 10000, -1531, 6937, -68.915947, 5.752779
1418, 1, 10000, -1514, 6951, -68.146858, 13.423151
1421, 3, 10000, -1514, 6951, -68.146858, 0.000000
1423, 2, 10000, -1482, 6977, -66.718552, 12.464354
1424, 1, 10000, -1465, 6991, -65.949463, 13.423151
1426, 2, 10000, -1449, 7004, -65.235306, 6.232177
1428, 2, 10000, -1433, 7017, -64.521149, 6.232177
1430, 2, 10000, -1415, 7032, -63.697124, 7.190974
1432, 2, 10000, -1400, 7044, -63.037907, 5.752779
1434, 2, 10000, -1383, 7058, -62.268814, 6.711576
1436, 2, 10000, -1366, 7072, -61.499725, 6.711576
